,year_data,year,region,region_description,state,offense,occurrence,age,cleared,population,occ_per_100k,clr_per_100k
1,0,2014,9,Southwest/Pacific,Alaska,commercial sex act,11,adult,3,737045,14.92446187,4.070307783
2,0,2014,9,Southwest/Pacific,Arizona,commercial sex act,15,adult,8,6634999,2.260738849,1.205727386
3,0,2014,9,Southwest/Pacific,California,commercial sex act,0,adult,0,38280824,0,0
4,0,2014,10,Rockies/Mid-West,Colorado,commercial sex act,11,adult,0,5270482,2.087095639,0
5,0,2014,3,Mideast South,Delaware,commercial sex act,0,adult,0,923638,0,0
6,0,2014,5,Gulf Coast East,Florida,commercial sex act,57,adult,44,19563166,2.913638825,2.249124707
7,0,2014,9,Southwest/Pacific,Guam,commercial sex act,0,adult,0,160375,0,0
8,0,2014,9,Southwest/Pacific,Hawaii,commercial sex act,0,adult,0,1408453,0,0
9,0,2014,12,Northeast,Idaho,commercial sex act,0,adult,0,1611530,0,0
10,0,2014,7,North Central,Illinois,commercial sex act,50,adult,0,12898269,3.876489163,0
11,0,2014,7,North Central,Indiana,commercial sex act,0,adult,0,6568367,0,0
12,0,2014,10,Rockies/Mid-West,Kansas,commercial sex act,1,adult,1,2893510,0.345601017,0.345601017
13,0,2014,1,New England,Massachusetts,commercial sex act,6,adult,4,6713944,0.893662503,0.595775002
14,0,2014,6,Central,Michigan,commercial sex act,2,adult,2,9913349,0.201748168,0.201748168
15,0,2014,7,North Central,Minnesota,commercial sex act,22,adult,5,5413693,4.063769408,0.923583956
16,0,2014,8,Plains,Missouri,commercial sex act,5,adult,1,6040658,0.827724397,0.165544879
17,0,2014,5,Gulf Coast East,Mississippi,commercial sex act,0,adult,0,2988797,0,0
18,0,2014,12,Northeast,Montana,commercial sex act,1,adult,0,1013564,0.98661752,0
19,0,2014,9,Southwest/Pacific,Nevada,commercial sex act,0,adult,0,2776972,0,0
20,0,2014,6,Central,Ohio,commercial sex act,0,adult,0,11576576,0,0
21,0,2014,10,Rockies/Mid-West,Oklahoma,commercial sex act,10,adult,7,3853205,2.595242143,1.8166695
22,0,2014,12,Northeast,Oregon,commercial sex act,0,adult,0,3922908,0,0
23,0,2014,8,Plains,South Dakota,commercial sex act,0,adult,0,842270,0,0
24,0,2014,6,Central,Tennessee,commercial sex act,29,adult,0,6493432,4.466051235,0
25,0,2014,11,Gulf Coast West,Texas,commercial sex act,78,adult,17,26489464,2.944566942,0.64176459
26,0,2014,10,Rockies/Mid-West,Utah,commercial sex act,0,adult,0,2897927,0,0
27,0,2014,5,Gulf Coast East,U.S. Virgin Islands,commercial sex act,0,adult,0,108044,0,0
28,0,2014,12,Northeast,Washington,commercial sex act,2,adult,0,6962906,0.287236392,0
29,0,2014,10,Rockies/Mid-West,Wyoming,commercial sex act,0,adult,0,582123,0,0
30,1,2015,9,Southwest/Pacific,Alaska,commercial sex act,10,adult,1,736307,13.5812915,1.35812915
