latitude,longitude,State,reportedTraffickingCasesPerCapita,reportedTraffickingCases
32.377716,-86.300568,Alabama,1.6705,82
58.301598,-134.420212,Alaska,2.0436,15
33.448143,-112.096962,Arizona,3.1714,234
34.746613,-92.288986,Arkansas,2.8299,86
38.576668,-121.493629,California,3.7734,1507
39.739227,-104.984856,Colorado,3.0108,176
41.764046,-72.682198,Connecticut,1.4594,52
39.157307,-75.519722,Delaware,3.8661,38
30.438118,-84.281296,Florida,4.074,896
33.749027,-84.388229,Georgia,3.8841,417
13.444304,144.793732,Hawaii,2.4775,35
21.307442,-157.857376,Idaho,1.4238,26
43.617775,-116.199722,Illinois,2.1091,267
39.798363,-89.654961,Indiana,2.3275,157
39.768623,-86.162643,Iowa,3.0819,98
41.591087,-93.603729,Kansas,3.1611,92
39.048191,-95.677956,Kentucky,3.0224,136
38.186722,-84.875374,Louisiana,3.4229,159
30.457069,-91.187393,Maine,2.675,36
44.307167,-69.781693,Maryland,3.0741,187
38.978764,-76.490936,Massachusetts,1.5337,107
42.358162,-71.063698,Michigan,3.6237,364
42.733635,-84.555328,Minnesota,1.8243,104
44.955097,-93.102211,Mississippi,4.9511,148
32.303848,-90.182106,Missouri,3.7768,233
38.579201,-92.172935,Montana,3.4966,38
46.585709,-112.018417,Nebraska,3.1753,62
40.808075,-96.699654,Nevada,7.6123,239
39.163914,-119.766121,New Hampshire,1.0939,15
43.206898,-71.537994,New Jersey,2.7639,247
40.220596,-74.769913,New Mexico,3.0525,64
35.68224,-105.939728,New York,2.3353,454
42.652843,-73.757874,North Carolina,2.5066,266
35.78043,-78.639099,North Dakota,3.0195,23
46.82085,-100.783318,Ohio,3.8305,450
39.961346,-82.999069,Oklahoma,2.7561,109
35.492207,-97.503342,Oregon,3.069,132
44.938461,-123.030403,Pennsylvania,2.1137,271
40.264378,-76.883598,Rhode Island,1.3256,14
18.200178,-66.664513,South Carolina,2.6679,139
41.830914,-71.414963,South Dakota,2.7685,25
34.000343,-81.033211,Tennessee,2.6096,180
44.367031,-100.346405,Texas,3.6645,1080
36.16581,-86.784241,Utah,2.7421,90
30.27467,-97.740349,Vermont,1.433,9
18.343441,-64.867163,Virginia,2.191,189
40.777477,-111.888237,Washington,3.4885,272
44.262436,-72.580536,West Virginia,2.1371,38
37.538857,-77.43364,Wisconsin,1.6064,94
47.035805,-122.905014,Wyoming,2.1163,12
38.336246,-81.612328,,,
43.074684,-89.384445,,,
41.140259,-104.820236,,,
