regiondescription,state,occurrence,latitude,longitude
Gulf Coast East,Alabama,0,32.377716,-86.300568
Southwest/Pacific,Alaska,62,58.301598,-134.420212
Southwest/Pacific,Arizona,278,33.448143,-112.096962
Plains,Arkansas,22,34.746613,-92.288986
Southwest/Pacific,California,0,38.576668,-121.493629
Rockies/Mid-West,Colorado,240,39.739227,-104.984856
Mideast North,Connecticut,20,41.764046,-72.682198
Mideast South,Delaware,10,39.157307,-75.519722
Gulf Coast East,Florida,600,30.438118,-84.281296
Gulf Coast East,Georgia,0,33.749027,-84.388229
Southwest/Pacific,Guam,0,13.444304,144.793732
Southwest/Pacific,Hawaii,14,21.307442,-157.857376
Northeast,Idaho,0,43.617775,-116.199722
North Central,Illinois,372,39.798363,-89.654961
North Central,Indiana,14,39.768623,-86.162643
North Central,Iowa,0,41.591087,-93.603729
Rockies/Mid-West,Kansas,12,39.048191,-95.677956
Central,Kentucky,44,38.186722,-84.875374
Gulf Coast West,Louisiana,470,30.457069,-91.187393
New England,Maine,4,44.307167,-69.781693
Mid-Atlantic,Maryland,90,38.978764,-76.490936
New England,Massachusetts,80,42.358162,-71.063698
Central,Michigan,62,42.733635,-84.555328
North Central,Minnesota,1100,44.955097,-93.102211
Gulf Coast East,Mississippi,0,32.303848,-90.182106
Plains,Missouri,126,38.579201,-92.172935
Northeast,Montana,8,46.585709,-112.018417
Plains,Nebraska,0,40.808075,-96.699654
Southwest/Pacific,Nevada,722,39.163914,-119.766121
New England,New Hampshire,4,43.206898,-71.537994
Mideast North,New Jersey,0,40.220596,-74.769913
Rockies/Mid-West,New Mexico,0,35.68224,-105.939728
Mideast North,New York,0,42.652843,-73.757874
Mid-Atlantic,North Carolina,0,35.78043,-78.639099
Plains,North Dakota,32,46.82085,-100.783318
Central,Ohio,8,39.961346,-82.999069
Rockies/Mid-West,Oklahoma,242,35.492207,-97.503342
Northeast,Oregon,2,44.938461,-123.030403
New England,Pennsylvania,0,40.264378,-76.883598
Gulf Coast East,Puerto Rico,0,18.200178,-66.664513
New England,Rhode Island,38,41.830914,-71.414963
Mid-Atlantic,South Carolina,132,34.000343,-81.033211
Plains,South Dakota,6,44.367031,-100.346405
Central,Tennessee,398,36.16581,-86.784241
Gulf Coast West,Texas,2090,30.27467,-97.740349
Gulf Coast East,U.S. Virgin Islands,0,18.343441,-64.867163
Rockies/Mid-West,Utah,2,40.777477,-111.888237
Mideast North,Vermont,4,44.262436,-72.580536
Mid-Atlantic,Virginia,0,37.538857,-77.43364
Northeast,Washington,94,47.035805,-122.905014
Mideast North,West Virginia,0,38.336246,-81.612328
North Central,Wisconsin,208,43.074684,-89.384445
Rockies/Mid-West,Wyoming,18,41.140259,-104.820236
