id,yearOfRegistration,Datasource,gender,ageBroad,majorityStatus,majorityStatusAtExploit,citizenship,meansOfControlTakesEarnings,meansOfControlThreats,meansOfControlPsychologicalAbuse,meansOfControlPhysicalAbuse,meansOfControlSexualAbuse,meansOfControlPsychoactiveSubstances,meansOfControlRestrictsMovement,meansOfControlUsesChildren,meansOfControlThreatOfLawEnforcement,isForcedLabour,isSexualExploit,isOtherExploit,isAbduction,recruiterRelationIntimatePartner,recruiterRelationFriend,recruiterRelationFamily,recruiterRelationOther
18733,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18734,2015,Hotline,Female,18--20,Adult,Adult,US,-99,-99,1,-99,-99,-99,1,-99,-99,0,1,0,0,-99,-99,-99,-99
18735,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,-99,1,-99,-99,-99,-99,-99,0,1,0,0,0,1,0,0
18736,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,1,-99,-99,-99,1,-99,-99,0,1,0,0,1,0,0,0
18737,2015,Hotline,Female,18--20,Adult,-99,US,-99,1,1,-99,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18738,2015,Hotline,Female,18--20,Adult,-99,US,-99,1,-99,1,-99,1,1,-99,-99,0,1,0,0,0,0,0,1
18739,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,0,1
18740,2015,Hotline,Female,18--20,Adult,Minor,US,1,-99,1,1,-99,-99,1,-99,-99,0,1,0,0,1,0,0,0
18741,2015,Hotline,Female,18--20,Adult,Adult,US,-99,-99,1,1,-99,-99,-99,-99,-99,0,1,0,0,1,0,0,0
18742,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,1,-99,-99,-99,-99,-99,0,1,0,0,0,0,0,1
18743,2015,Hotline,Female,18--20,Adult,Minor,US,1,-99,1,1,-99,-99,-99,-99,-99,0,1,0,0,0,0,1,0
18744,2015,Hotline,Female,18--20,Adult,-99,US,-99,-99,1,1,-99,-99,-99,-99,-99,0,1,0,0,1,1,0,0
18745,2015,Hotline,Female,18--20,Adult,-99,US,-99,1,-99,1,-99,-99,1,-99,-99,0,1,0,0,0,0,0,1
18746,2015,Hotline,Female,18--20,Adult,Minor,US,1,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,0,1
18747,2015,Hotline,Female,18--20,Adult,Minor,US,1,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,0,-99,-99,-99,-99
18748,2015,Hotline,Female,18--20,Adult,-99,US,-99,1,1,1,-99,1,1,-99,-99,0,1,0,0,1,0,0,0
18749,2015,Hotline,Female,18--20,Adult,Adult,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,1,0,0
18750,2015,Hotline,Female,18--20,Adult,Minor,US,-99,1,-99,-99,-99,1,-99,-99,-99,0,1,0,0,1,0,0,0
18751,2015,Hotline,Female,18--20,Adult,Adult,US,-99,-99,-99,-99,-99,1,-99,-99,-99,0,1,0,0,1,0,0,0
18752,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,1,-99,-99,-99,-99,1,-99,0,1,0,0,1,0,0,0
18753,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,1,-99,-99,0,1,0,0,0,1,0,0
18754,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,1,0
18755,2015,Hotline,Female,18--20,Adult,Minor,US,1,-99,1,-99,1,-99,1,-99,-99,0,1,0,0,0,0,1,0
18756,2015,Hotline,Female,18--20,Adult,Minor,US,-99,-99,-99,1,-99,-99,1,-99,-99,0,1,0,0,0,0,1,0
